citta,codiceFiscale,cognome,eta,nome,precedenti,ruolo,sesso
Florence,Y36QEZ6G7MS6A5A1,Szymonowicz,84,Joell,true,Vittima,Femminile
Genoa,86L064T6I9BT3O9M,O'Corhane,32,Torrey,true,Criminale,Femminile
Verona,SB4393T3P2DN35I8,Boshard,86,Abelard,false,Criminale,Maschile
Naples,M7Q29AEN88733D9N,Castille,30,Prisca,true,Criminale,Maschile
Turin,9KB5C171F19O4MI6,Dacks,84,Euell,true,Criminale,Maschile
Bologna,B7Y2QU53U0QEP2U0,Marquiss,33,Bret,true,Vittima,Maschile
Verona,PFIQF784DW4DC6Z1,Earnshaw,29,Deloris,false,Vittima,Femminile
Rome,54YP13C1BFXC5P7J,Lydster,47,Othello,false,Vittima,Femminile
Genoa,UEC68287GDR807VN,Danbrook,25,Joshua,true,Vittima,Maschile
Palermo,XBP801S17J6Q8155,Ronci,23,Thurstan,false,Vittima,Maschile
Milan,9G3V4QC069A0L875,Keiley,45,Hillie,false,Criminale,Maschile
Genoa,DC44ZW5Q3492M2XC,Armstrong,40,Waly,false,Criminale,Maschile
Bologna,7780N88TL1L2J6H9,Noddings,20,Noemi,true,Criminale,Femminile
Bologna,9Z13I42BF701L33W,Fazackerley,90,Evelyn,false,Vittima,Maschile
Rome,9BH373EB3KD2CD4H,Matzeitis,20,Brady,false,Vittima,Maschile
Palermo,526C03B751LU464W,Cussins,80,Shayna,true,Criminale,Femminile
Genoa,2K3W17ROCS74V5N6,Haill,49,Aggy,true,Vittima,Femminile
Palermo,R6L2D728IHH7J6PS,Higounet,47,Abe,true,Vittima,Maschile
Rome,17VZ32P0MMM104IZ,Leagas,63,Linn,true,Vittima,Maschile
Florence,FW9IX1IHCG86148F,Capelle,23,Lillis,false,Criminale,Maschile
Florence,46FJ16PU44HY8O2M,Gerb,88,Julia,true,Vittima,Maschile
Venice,8O6Q89A35DKHDO1G,Hagyard,90,Carine,true,Criminale,Maschile
Bologna,606YU17I1V24QE10,Corgenvin,88,Sherill,true,Vittima,Femminile
Rome,R05MQBCP8Y089A97,Portam,80,Hewe,false,Vittima,Femminile
Florence,6M407DIE3037H656,Sylett,35,Delphine,true,Criminale,Maschile
Palermo,G8O3KC3O8EU0VC1W,Haggidon,23,Loralie,true,Vittima,Maschile
Naples,04EEWFD85GT6S6LR,Wormell,33,Gwendolin,true,Vittima,Maschile
Naples,8B2GQ220Y20LVE31,Bolley,72,Caddric,true,Criminale,Femminile
Naples,147A3C25S8K617VI,Pawlyn,78,Anthia,true,Criminale,Femminile
Turin,5TO717U8OF15J7H8,Gaiger,15,Jessie,true,Vittima,Maschile
Genoa,24B672CT2P5TY5VT,Jolland,86,Mack,true,Criminale,Maschile
Turin,8XU6TF1372H2H017,Steggals,42,Whittaker,false,Vittima,Maschile
Genoa,Z40NQM9O68QKEIP0,Ninnotti,72,Sinclair,true,Criminale,Maschile
Palermo,9D7R9P9T38KJ1X7Q,Oganian,18,Ingrid,true,Criminale,Femminile
Rome,72E768RKR11BGJT3,Penwell,24,Dayna,true,Criminale,Maschile
Verona,037WW7836N9HDHDO,Kop,88,Harlen,false,Vittima,Femminile
Palermo,81RZ8HF8QGOVNBJ8,Salmon,65,Eadith,true,Vittima,Femminile
Venice,08385U2BU3114150,Abell,79,Silvain,true,Criminale,Maschile
Naples,84J9OZ1SJWKDQHGI,Firsby,81,Anatola,true,Criminale,Maschile
Genoa,YMJZAI8T558LA7J6,McCormack,88,Lydon,false,Criminale,Femminile
Verona,7SVZW2NX686U0PG9,Wareham,72,Rozelle,false,Criminale,Maschile
Rome,QC6K31C037F87ML3,Markham,81,Enos,false,Vittima,Femminile
Milan,WGSMP3W32K47K0CJ,Jansson,15,Tamma,true,Vittima,Maschile
Rome,D4639VO3HV9ET4IH,Rickford,17,Ingeborg,false,Criminale,Maschile
Turin,6B3RH0I78QU8COX7,Duny,78,Vale,false,Vittima,Femminile
Genoa,N9CEGJ9WRV028L4E,Comben,33,Megan,true,Criminale,Maschile
Turin,13D81Y70WN0F9D4N,Merrifield,16,Lib,true,Criminale,Maschile
Florence,W2203D86LQCQ4G98,Kither,23,Nial,true,Criminale,Femminile
Bologna,1V216921735XOO8U,Delacroix,41,Aura,false,Vittima,Femminile
Rome,I9T2062N5089M4V7,Bygate,78,Artemas,true,Criminale,Maschile
Bologna,251PKMVYOU3PACZ3,Keningley,60,Iggie,true,Vittima,Maschile
Rome,8D1DL076B0SS8RIA,Phizackarley,55,Pail,true,Vittima,Maschile
Bologna,GI6DG8ETAS0769FP,Campe,18,Killy,false,Vittima,Maschile
Florence,3656916AF6VLM639,Clever,46,Barbara-anne,false,Criminale,Femminile
Palermo,Q5I3WCK330L8CG1I,Bickerdyke,43,Merissa,false,Criminale,Femminile
Milan,29BJGA65Y7O7L004,Espina,68,Leland,true,Vittima,Maschile
Venice,HFM4920O4FSWD5ML,Farreil,76,Maitilde,false,Criminale,Femminile
Naples,U905I1V43QHZ15R2,Deane,21,Hayes,false,Criminale,Maschile
Milan,QX8I2GC8MURZ7U0N,Lubman,15,Una,false,Vittima,Femminile
Rome,W53J6GY29Z46Z71E,Revey,50,Micheline,true,Criminale,Femminile
Bologna,4I87C51O8K32MLHE,McKibbin,59,Hoyt,false,Criminale,Maschile
Naples,PY654B6621955E4D,Grimmer,43,Wright,false,Vittima,Maschile
Bologna,FP8G28CJB2716JD0,Cheley,41,Ashil,false,Criminale,Maschile
Rome,DMAAL539ID39NNWA,Secrett,78,Alistair,true,Criminale,Maschile
Naples,ZC0123UA89M4H6GF,Marquis,64,Thorn,true,Vittima,Femminile
Naples,74163K81990BPN71,Mityushkin,52,Shannah,false,Criminale,Maschile
Venice,S3X9QEWBP5OL4V30,Wybern,29,Franciskus,false,Vittima,Maschile
Naples,1KN5Q059M07OA2T3,Hanhart,49,Marcia,false,Vittima,Maschile
Bologna,GYE6C115XT86A6EJ,Cambridge,79,Robbin,false,Vittima,Femminile
Verona,HD31VOPO729O6M09,Arthy,79,Luisa,true,Vittima,Femminile
Genoa,3DG20ZOKI869C3GK,Moulsdale,41,Harper,false,Criminale,Maschile
Bologna,3J3JKCBQ4OF61B2V,Swabey,30,Chris,true,Vittima,Femminile
Verona,0FGU2SBTDHH27102,Behling,26,Jeffie,false,Vittima,Maschile
Naples,LPQ0PZSKK213H9MC,Petters,90,Burt,true,Vittima,Maschile
Venice,75HM3TVT7X0P26WX,Le Grand,20,Jonie,false,Criminale,Maschile
Bologna,210M8U2496MLQ0UF,Chastey,25,Tammi,true,Criminale,Femminile
Milan,5E9352WP2U54H2UY,Dewett,82,Rayner,true,Vittima,Femminile
Turin,C0SA696WK476M109,Hockell,57,Julie,true,Criminale,Femminile
Florence,P53800X5EH7OC0FP,Iseton,48,Joela,true,Criminale,Femminile
Palermo,28YMG3Y90T06GD76,Damp,34,Row,false,Criminale,Maschile
Palermo,7QNTNH44X21U59BO,Pittock,54,Inna,true,Vittima,Maschile
Milan,7M501U508838I53G,Schruurs,15,Rosemarie,false,Criminale,Femminile
Venice,U18PNCX1E5910ZI8,Niccols,55,Gilemette,true,Vittima,Femminile
Rome,TJGV4D6M179T58CU,Zimek,27,Berkeley,false,Criminale,Femminile
Milan,VGAAQ33EDH4BBE8U,Polglaze,41,Christy,false,Criminale,Maschile
Verona,WWQL552G5K54DV9B,Medlen,55,Karylin,false,Vittima,Maschile
Verona,W395X66Z2V58O648,Cootes,71,Fergus,true,Criminale,Femminile
Verona,IEGSZOLLI22UI0S1,Ivanov,25,Padraig,false,Vittima,Maschile
Palermo,42RY66G80J1C88FR,Conibeer,29,Deane,true,Vittima,Maschile
Palermo,7V26D13EPC3U0JC5,Stainsby,69,Bria,false,Criminale,Femminile
Rome,EO98JBN8N52JVZRB,Headingham,43,Gaby,false,Criminale,Femminile
Genoa,RRHDIYQ2KM4FH9L8,Marquiss,72,Celesta,false,Criminale,Maschile
Venice,0P74S6CTX6YUMHJ8,Soal,26,Deerdre,false,Criminale,Femminile
Verona,2XAF3UH936395J39,Gracey,73,Coleman,true,Criminale,Maschile
Verona,BC4X186IA7J8P78L,Noads,41,Merrel,false,Vittima,Femminile
Florence,F22UCN46AY74X402,Benaine,63,Rolf,true,Criminale,Femminile
Bologna,2ST5Y7O5GL7BDC29,Feaveryear,38,Shandie,false,Vittima,Maschile
Turin,EK7INUS0N2166075,Eisold,14,Bentlee,true,Criminale,Femminile
Bologna,N4CE073UZ515DI45,McEwen,34,Claudie,false,Vittima,Femminile
Florence,UI4P310U3K2AUC16,Menci,52,Bing,false,Criminale,Femminile
Rome,GV4Z6TB76H7GKV47,L' Estrange,83,Richart,true,Criminale,Maschile
Milan,Z87Y2C6VC6VF95WM,Almey,33,Bryn,false,Criminale,Femminile
Palermo,9B162830B4Q7KQ05,Von Brook,73,Kerry,true,Vittima,Maschile
Milan,258ZE376LF1819XP,Buckley,24,Sophey,false,Vittima,Maschile
Genoa,24JG147G000W9M13,Lingley,62,Tudor,false,Criminale,Femminile
Verona,O8JGI227DL6M7441,Quenell,16,Shandie,true,Criminale,Maschile
Genoa,A88144S3SZIY19P0,Constanza,83,Wash,true,Vittima,Femminile
Rome,338F563E1621E8TG,Caldera,49,Rik,true,Criminale,Femminile
Genoa,D21O56280MSE1V41,McCrackem,74,Kerwinn,false,Criminale,Maschile
Naples,SW78I7HRQKR9N1G4,Dogg,76,Fina,true,Criminale,Femminile
Genoa,L272X81GZHJ4195G,Kelcey,20,Katusha,true,Vittima,Maschile
Verona,PM12SJ71PEK38OH8,Ricardo,24,Caressa,false,Criminale,Maschile
Palermo,338A9N0RA51A41NS,Eddy,15,Ciel,false,Criminale,Maschile
Venice,3BV52Y04D0455107,Bayldon,35,Byrle,false,Criminale,Maschile
Venice,VX3130HQ33JIG7Z3,Govey,50,Mei,true,Vittima,Maschile
Venice,PQHN51VLF6WL3138,Gylle,76,Ashlin,false,Vittima,Femminile
Milan,0TL5Y876E9X2H01O,Owen,82,Penni,false,Vittima,Maschile
Genoa,HK87BHKRK58E205P,Lovstrom,23,Melitta,true,Criminale,Maschile
Venice,03MYN6O59F0W9PS6,Ketley,68,Seward,false,Criminale,Maschile
Florence,81NGQSDGU974PUFD,Lindenberg,15,Kally,false,Vittima,Maschile
Palermo,N9G963X8D44Q4QB7,Coggings,66,Goldarina,true,Vittima,Maschile
Venice,P2DLSD1Q1GF2X4W4,Cadogan,42,Jodi,false,Criminale,Femminile
Turin,E5C7030D6I7152LY,Prime,69,Nikoletta,false,Vittima,Femminile
Turin,IU0V50052J95ZG63,Wingeatt,71,Ninette,false,Vittima,Maschile
Milan,147DE7SH6MFX7C8C,Grimsdike,26,Dewitt,true,Vittima,Femminile
Venice,5M27R004E08H61A3,Guile,24,Armin,false,Criminale,Maschile
Turin,8UNR0P053XO55V72,Brolan,79,Nedda,false,Vittima,Maschile
Verona,KDO0D6WW651TUKTW,Cosens,23,Niven,false,Criminale,Maschile
Bologna,L60U58U0N5L00LT3,Joyce,87,Casey,true,Vittima,Femminile
Verona,MHS4Q640DS7M3XOS,Sandcraft,80,Rivy,false,Vittima,Femminile
Venice,3UK1V2716R7HDLJN,Serrurier,30,Justino,true,Vittima,Maschile
Genoa,8N330HC615R6K572,Haye,57,Brana,true,Criminale,Maschile
Genoa,D62VFUNS9SJS7S1I,Vynehall,61,Waldemar,true,Criminale,Femminile
Milan,KZ3SUX94T4M4IB4A,Scarman,65,Hermann,true,Criminale,Femminile
Verona,PX435WLQFX8YWU29,Circuit,19,Milton,false,Vittima,Maschile
Turin,Z447T422A6E8WXE3,Bewly,51,Yetta,true,Criminale,Femminile
Verona,9SVM2T3R11455700,Mundie,53,Marla,false,Criminale,Maschile
Bologna,VO1BA296200I9N17,Mixer,63,Jaine,false,Vittima,Maschile
Turin,U64C34D6I9FC5OK1,Hemeret,41,Laird,false,Vittima,Maschile
Naples,3621J8RWU2617Z10,Nary,57,Miranda,false,Vittima,Femminile
Verona,XWR7428J3L695380,Karlsen,76,Justinian,false,Criminale,Maschile
Milan,PC48Q1TN3S770H68,Murtell,32,Jane,false,Vittima,Maschile
Florence,2A5190AQL6YI6268,Geeson,29,Tallou,true,Criminale,Maschile
Milan,ME2DV0I2RKC0QCN5,Vaun,55,Ninon,false,Criminale,Maschile
Turin,0KG03ZMC9XKV86P5,Marie,35,Theodor,true,Vittima,Femminile
Turin,ES92690E9Y139B4R,Hurring,75,Shelli,true,Criminale,Femminile
Palermo,X2W63N0PVNS9TRXY,Leeds,47,Bambi,true,Criminale,Maschile
Genoa,T5O83I77637M7EDP,Scroyton,62,Connor,false,Criminale,Maschile
Rome,YF0JWYY8546AW806,Heaton,79,Briny,false,Vittima,Maschile
Palermo,9I1DG4N6CNA50ZBX,Nichol,68,Robena,false,Criminale,Maschile
Palermo,0N1BNV576430M7P0,Wellan,72,Dana,false,Criminale,Maschile
Venice,22OB6F4S1K90DJ2M,Drains,31,Lucilia,true,Vittima,Maschile
Milan,L6TH7Z1U36V25P05,Rowling,73,Shelden,true,Vittima,Femminile
Milan,T597G6MK97F0J38M,Lowden,86,Concordia,true,Criminale,Femminile
Venice,WEW51LV71284IM81,Goncalo,83,Diane,true,Criminale,Maschile
Palermo,7Z14OH728R51T0PF,Brigham,17,Quillan,true,Criminale,Femminile
Rome,B23882F2F9A88I25,Richt,29,Vivien,false,Vittima,Maschile
Genoa,NQ690A9A3HOTBW5B,Eassom,38,Joseph,false,Criminale,Femminile
Rome,1E8O5IG0HW3U2314,Zack,64,Gilberte,true,Vittima,Maschile
Florence,I789EITT0R7714G6,Franzen,86,Lilian,false,Vittima,Femminile
Palermo,54S11E03Y3G1MH71,Shimmin,65,Berthe,false,Vittima,Femminile
Turin,7Y4429Y6429N5C66,Johnys,69,Phylis,false,Criminale,Maschile
Genoa,A1F1W11PSC33Y791,Sappell,33,Daile,false,Vittima,Femminile
Palermo,61I83KB2X4IVM2Y8,Basford,49,Nataline,true,Vittima,Maschile
Palermo,N54A2BOS4P9LC95Q,Deal,81,Ariana,true,Criminale,Femminile
Verona,C4W8T7Q9648M05JG,Porritt,53,Cull,true,Criminale,Maschile
Venice,7PH1B4X8MZ51YF26,Eddie,57,Roda,true,Vittima,Maschile
Milan,YDO05VBM111L08X2,Toffler,52,Roderich,true,Vittima,Femminile
Palermo,O65RO7T7BGPGYW13,Easeman,67,Cindy,true,Criminale,Femminile
Verona,WXG7RM2JS13GC6RW,Hansod,25,Frederic,true,Vittima,Femminile
