citta,codiceFiscale,cognome,eta,nome,precedenti,ruolo,sesso
Turin,B5BB4743XIY23OSD,Degue,51,Deidre,true,Vittima,Femminile
Genoa,3BN6DO03RJ49L9EA,Burwell,74,Anne-corinne,true,Criminale,Maschile
Florence,GYBQPJ34VQ974840,Caddie,77,Parsifal,true,Criminale,Maschile
Rome,7B85LQ8Y2Y3SQJ9D,Corain,90,Leonelle,false,Criminale,Maschile
Palermo,14MGL38XO687SX31,MacKartan,30,Kala,false,Criminale,Maschile
Genoa,AVS2RG4AETOTIR25,Kunzel,62,Clem,true,Vittima,Femminile
Venice,U6Z1GO7I746A81U3,Sweedy,49,Stuart,false,Vittima,Maschile
Verona,WSY7P9G93BFN7386,Andrzej,54,Pierce,false,Vittima,Maschile
Turin,KUFPE5059G5NK6U5,Marriott,49,Travis,true,Vittima,Femminile
Genoa,704LUYVOOGQV9I58,Ebbrell,89,Ketti,false,Vittima,Maschile
Turin,Q64WQ36TBF016QTQ,MacKinnon,21,Legra,false,Criminale,Maschile
Turin,16D9J8PVU46FN3QE,Warlaw,33,Bobbette,true,Criminale,Maschile
Palermo,905J71TJ14H2GL5G,Labbati,46,Ring,true,Criminale,Femminile
Rome,LM2E9S06QT0OC2W5,Cruwys,31,Pepita,false,Vittima,Maschile
Verona,845VJ9827YYIGW90,McKue,69,Mata,true,Vittima,Maschile
Rome,0KNI84494T869R2X,MacGibbon,24,Ara,false,Criminale,Femminile
Palermo,0QFM896510W9A567,Heynel,79,Garrott,true,Vittima,Maschile
Milan,7U6BEO4766828548,Crofthwaite,27,Umeko,false,Vittima,Femminile
Milan,7A7590FQX5GEAX37,Medwell,90,Ermin,true,Vittima,Maschile
Verona,LGNFMY3832XI2Q6I,Judkin,29,Petronella,false,Criminale,Femminile
Verona,VH6FYL3M1JS4I4AW,Crimpe,60,Kalle,false,Vittima,Femminile
Genoa,XY9ZQ2U4LQ12473C,Nequest,77,Thurston,true,Criminale,Maschile
Florence,8R9383914V0WL09S,Costy,55,Gerick,true,Vittima,Femminile
Bologna,12522HA73GDL18O2,Tuley,84,Nefen,true,Vittima,Maschile
Milan,6359T04N0783572D,Bursnoll,88,Natasha,true,Criminale,Femminile
Bologna,456XX3ESO0WL9L05,McCoid,35,Aurilia,false,Vittima,Maschile
Venice,4B87Z52D2A8U7JCT,Tetley,25,Paulita,true,Vittima,Femminile
Palermo,911JVLUI131D87W9,Conry,46,Lonni,false,Criminale,Maschile
Palermo,356QM1T0BM2CN000,Banbury,44,Raleigh,false,Criminale,Femminile
Bologna,42ZR92GJAT890A30,Ilymanov,53,Beatrisa,true,Vittima,Femminile
Verona,6Z7GYSX6KH9Y080S,Sprowson,85,Joellyn,false,Criminale,Femminile
Bologna,4WNB6604QXVQ1YOB,Hinckley,43,Cynthea,true,Vittima,Maschile
Florence,42623C0W6ZX3CN90,Yakobowitch,50,Florinda,false,Criminale,Femminile
Milan,Q165MMXUJ9M8853O,Tenbrug,24,Cyril,true,Criminale,Femminile
Palermo,I24LBB0O3UWEA9K4,Evangelinos,87,Hansiain,false,Criminale,Maschile
Milan,4MD0NELEE708UM2Y,Egell,26,Alix,false,Vittima,Maschile
Milan,4XYXA734C6FEMDZM,Downgate,46,Kat,true,Vittima,Maschile
Palermo,25NC1OX1UYY68L82,D'Orsay,37,Yehudi,true,Criminale,Femminile
Florence,RF1BFGKC3WYA3WBN,Ipplett,85,Elvira,true,Criminale,Femminile
Rome,BIM7S0951AY99237,Claypole,31,Kacey,true,Criminale,Femminile
Palermo,U618I1OLF9RF8R75,Glasper,26,Elwira,false,Criminale,Maschile
Genoa,AIJ0ZUJ57R8EV1C0,Edgerton,16,Opal,false,Vittima,Maschile
Florence,66986UG76319AR24,O'Rowane,86,Nelson,false,Vittima,Maschile
Florence,6D583MC0Z9J4NZ0M,Jeffs,86,Bab,false,Criminale,Maschile
Verona,K2DMB398UOSOW75U,Styan,49,Catherine,true,Vittima,Femminile
Bologna,IZM4ZR006EB2B9K6,Phil,36,Devlin,false,Criminale,Femminile
Bologna,HIT399YCF0087M15,Lambard,34,Patty,true,Criminale,Femminile
Turin,GFXB3M8LX8X41381,Faussett,62,Jamey,true,Criminale,Maschile
Rome,SV3L069QVYJS884S,McGibbon,68,Manya,true,Vittima,Femminile
Bologna,GGN6HEBR6J6CS7JV,Volker,40,Sara-ann,false,Criminale,Maschile
Florence,549V109E955ANF8A,Napoleone,62,Anselma,true,Vittima,Femminile
Bologna,Q0A7VHP396610FPM,Bilney,50,Cathyleen,true,Vittima,Maschile
Genoa,4P340U36UGR759BJ,Viccars,49,Elihu,false,Vittima,Femminile
Genoa,6MXV609AD830708U,Sumpton,89,Camellia,true,Criminale,Femminile
Milan,L527E72V202W32ZT,MacNeilley,50,Neel,false,Criminale,Maschile
Verona,4WHQ3VO2294OU0W4,Mathey,48,Willard,true,Vittima,Maschile
Milan,077NH748TJ0RUQ96,Borless,90,Kendall,false,Criminale,Maschile
Rome,1PRE4PWH40N555R4,Verty,19,Fernanda,true,Criminale,Maschile
Naples,UD7OD3M615789054,Batkin,38,Maximilianus,true,Vittima,Femminile
Verona,M5CA0RWA6IJ53474,Kaman,39,Giulietta,true,Criminale,Maschile
Venice,25FS3F49R1QKQ0GR,Jasiak,21,Hildagard,false,Criminale,Maschile
Florence,80971T18QNWB6V6X,Faley,88,Edna,true,Vittima,Femminile
Turin,HY3GV8ZA5PV0JS67,Offer,67,Rori,true,Criminale,Femminile
Bologna,3B1Q1222CB14V47X,Cohani,85,Eran,false,Criminale,Femminile
Naples,284RL3LU9U9H4OD8,Kerwick,79,Starla,true,Vittima,Femminile
Rome,3HNFW5HOP6AK7PC8,Pass,89,Rudie,true,Criminale,Maschile
Bologna,24S8S804IP18B81X,Cometson,63,Tarah,false,Vittima,Femminile
Venice,S6863TRO8ICNT351,Rude,60,Sarena,true,Vittima,Femminile
Verona,8JZ6K35L3C7Z06PJ,Gouldsmith,46,Edwina,true,Vittima,Maschile
Turin,YMA9RJMC9WIKKKI4,Sapwell,82,Gabriello,true,Vittima,Femminile
Genoa,L3645K66G5PG59TW,Whittall,50,Hugo,true,Criminale,Maschile
Rome,2ATQT3F8K3JC6443,Easey,84,Mord,true,Vittima,Femminile
Palermo,IF94O2T676Y48318,Dumbrill,64,Neala,false,Vittima,Maschile
Milan,66FH5V3603224T77,Mowle,33,Isaac,true,Vittima,Maschile
Genoa,87115H5OH63GR908,Basile,25,Jennica,true,Criminale,Maschile
Rome,TSO31BK2TTB8P5Q1,Bunch,41,Leia,true,Criminale,Maschile
Milan,R24HQ3475W81YETO,Hadcroft,15,Florina,false,Vittima,Maschile
Florence,8Z4L8A79AZ7G7TGR,Ceney,65,Natassia,false,Criminale,Femminile
