citta,codiceFiscale,cognome,eta,nome,precedenti,ruolo,sesso
Naples,ETGQR7E64K7TQF0T,Binch,30,Jourdain,true,Vittima,Femminile
Florence,6JEHFG4A856PQ537,Dinis,75,Alfie,false,Criminale,Maschile
Palermo,3D04ANAZHQ1L34TF,Neathway,81,Karola,false,Criminale,Maschile
Venice,5Z617192D77CCY06,Till,65,Dinnie,true,Criminale,Maschile
Turin,9J88UXETE54H496C,Riep,58,Charmion,false,Criminale,Femminile
Florence,176A11E7B96A0Z2P,Neill,79,Daisie,false,Vittima,Femminile
Florence,O5Y424U501S5B984,Chippendale,31,Othilia,false,Vittima,Femminile
Milan,889T0KA4OM39CMMG,De Gregorio,39,Paola,false,Vittima,Maschile
Verona,JX7TGY0H05KQ2AR9,Murrthum,26,Rodge,false,Vittima,Femminile
Genoa,GWR31V4NMM9HG97F,Ryson,49,Lonni,true,Vittima,Maschile
Turin,N98GU1ESTDZ1KJB4,Barkley,32,Allina,true,Criminale,Femminile
Verona,105X7IVR2H1J41UT,Clemmett,57,Dud,true,Criminale,Maschile
Rome,97T32853C37A4KLW,Leivers,16,Nye,true,Criminale,Maschile
Rome,1A3GJ3DD1VNUO84H,Neiland,88,Vanda,true,Vittima,Maschile
Rome,YIBE20N0J36403JM,Burgoin,25,Lillian,false,Vittima,Maschile
Rome,74GQ63ZDY8925P1D,Hobbing,48,Dennet,true,Criminale,Maschile
Verona,YS2A16638E617OV5,Gauler,68,Erinna,false,Vittima,Femminile
Bologna,9SG9K4802ZCE8PI0,McWhannel,75,Burk,true,Vittima,Maschile
Palermo,E006FUNK5R6YRM32,Kermitt,78,Jackie,false,Vittima,Maschile
Venice,8R0102V819YUC7X8,Dawidowsky,23,Bessie,false,Criminale,Maschile
Rome,5A67KMQ05V1B4UZ3,Hertwell,29,Karissa,false,Vittima,Femminile
Rome,1BB1Z836830UQIVK,Othen,22,Alric,true,Criminale,Femminile
Rome,TSW28YX1AI4PI203,Heeps,14,Mata,true,Vittima,Maschile
Genoa,2F0T37PA0Z9NMN5F,Curneen,51,Coleen,false,Vittima,Maschile
Turin,BDG5O9NMV4694L64,Claybourn,30,Emelia,false,Criminale,Maschile
Verona,T38G839W05XD71K4,Dumbellow,47,Erin,true,Vittima,Maschile
Florence,41OK91SH84MT841M,Raden,90,Beau,false,Vittima,Femminile
Rome,549Q45C1OF84W078,Gerrey,29,Joye,true,Criminale,Maschile
Turin,973D5P12C266P87Y,Barwis,55,Shelley,true,Criminale,Maschile
Turin,02ZGE6Q84Q009584,Domone,78,Shea,false,Vittima,Femminile
Naples,187QPQR69YFS64W6,O' Faherty,26,Daryl,true,Criminale,Femminile
Bologna,E60A164N7LVLJ6ZZ,Pee,40,Dallas,false,Vittima,Femminile
Palermo,5LA41XL1RIPE3Z3V,Valente,40,Jori,true,Criminale,Femminile
Turin,X6LL18W1ZLY038V4,Ricioppo,59,Myrtle,true,Criminale,Maschile
Milan,880R53ZE2PACB1RJ,Gabbett,45,Austin,true,Criminale,Femminile
Rome,7LAP5GDE74H3X65Y,Jennings,20,Sascha,false,Vittima,Maschile
Milan,4M1J6E25ASRUQTUB,Salatino,14,Sherwynd,true,Vittima,Maschile
Naples,N4R98077GHO928TO,Skellorne,27,Boycey,true,Criminale,Femminile
Venice,AH67D4P86JF58P89,Shingles,90,Celestyn,true,Criminale,Femminile
Venice,37QG78NDO4S38E98,Bixley,57,Ivar,true,Criminale,Maschile
Genoa,YK4B37T75BUV9LH8,Plumbridge,60,Idette,false,Criminale,Femminile
Genoa,56VCY8MO431ZT8MX,Agglio,37,Nikos,true,Vittima,Femminile
Rome,Y362A7GB597Y5QN8,Trevethan,51,Pincas,false,Vittima,Femminile
Turin,L90Z0R1F80G5XE0J,Hailey,78,Danyelle,true,Criminale,Femminile
Milan,VFAY3ONFEAT9Z5RY,Charle,69,Carolyne,false,Vittima,Maschile
Florence,J35D493R620BJ7V2,Meritt,20,Leonhard,false,Criminale,Maschile
Naples,7XR1MQ51SC7L5WA0,Dolley,29,Virgilio,true,Criminale,Maschile
Rome,S4JM253527D3OQZ0,Newland,25,Bambie,true,Criminale,Femminile
Milan,X96CE6PLI662K12Y,Sketch,16,Mersey,false,Vittima,Maschile
Palermo,380TUN18QG75447G,Land,86,Octavia,true,Criminale,Maschile
Genoa,M3VM89S07Q4Q7EXO,Caldeiro,43,Diandra,true,Vittima,Maschile
Florence,Y210HUP2GD2A6VYV,Lafranconi,41,Catlaina,false,Vittima,Maschile
Florence,0F9IYUO81HRAX2OX,Silbermann,37,Irwin,true,Vittima,Maschile
Milan,WZM1Q3824J7QYT28,De Caville,47,Seymour,false,Criminale,Femminile
Naples,E0663554422BZVW0,Isted,76,Joanna,true,Criminale,Femminile
Verona,5O9WY7XVMQ5602IP,Backs,84,Doll,true,Vittima,Femminile
Florence,UY182XD31PWY0DP1,Petruska,69,Bernardo,false,Criminale,Femminile
Milan,50LGQ90O08DB3OE9,Helix,24,Wandie,false,Criminale,Femminile
Venice,1V528WAU081Z969B,Tinkler,22,Pepito,true,Vittima,Maschile
Palermo,9IN16KE1705H8EJC,Pigny,73,Alexine,true,Criminale,Femminile
Turin,B75B0RN7CKZ23JB8,Torbet,73,Paddy,false,Criminale,Femminile
Verona,10C2MS74RQSA01H7,Marflitt,49,Moore,false,Vittima,Maschile
Turin,EWYYKG934190DVBI,Pownall,84,Liv,true,Criminale,Femminile
Rome,022A402LHZ84SR25,Wigzell,85,Kris,true,Criminale,Femminile
Genoa,TICSVY70B3902EC8,Yerbury,17,Layne,true,Vittima,Maschile
Genoa,A9EUUG1DB0637DDB,Osment,15,Polly,true,Criminale,Femminile
Palermo,H9EW1536Q1HC70B0,Goggan,17,Gerek,false,Vittima,Femminile
Milan,0R9T11HA7B9WZ6YE,Di Angelo,88,Luci,false,Vittima,Maschile
Naples,70N5X99HO7A5X6GO,Reoch,33,Haskel,false,Vittima,Maschile
Palermo,DBJZY05511A1M9W7,Birchner,55,Ford,true,Vittima,Femminile
Bologna,FA8TP4L8Y184ETM9,Tofful,25,Lora,true,Criminale,Femminile
Rome,N62NHU8OQ0N3T0P6,Harrild,18,Avictor,true,Vittima,Femminile
Rome,5V94J3FF14F2J18G,Havesides,47,Averil,true,Vittima,Maschile
Naples,Y44540G8LSEGM1VP,Denyukhin,16,Griff,false,Vittima,Femminile
Palermo,61413NIC12QF5XIY,Welman,53,Natalie,true,Criminale,Femminile
Rome,731IFO4527X5902C,McLeoid,52,Siana,false,Criminale,Maschile
Verona,0MCHWI4W2N174TZ7,O'Dulchonta,41,Nerita,false,Vittima,Femminile
Palermo,YR5N4GUGZ5Z42DX4,Fripp,86,Upton,false,Criminale,Femminile
Rome,PED66M5EXKQE9DZ8,Brocklesby,56,Nissa,false,Criminale,Maschile
Bologna,9EU9VJP8T81DKN95,Hails,36,Cesare,false,Criminale,Femminile
Florence,JW8VVK90JW851663,Gatland,88,Davie,true,Vittima,Femminile
