citta,codiceFiscale,cognome,eta,nome,precedenti,ruolo,sesso
Florence,0F678M5Q95HO5A9M,Beeze,64,Andrei,true,Vittima,Femminile
Bologna,5KTIWTU6YP74JDXP,Biscomb,50,Catherine,false,Criminale,Maschile
Genoa,RANAXX6KOAWK2W8V,Ollerenshaw,15,Shelley,true,Criminale,Maschile
Venice,27I99KZ43E8WP559,Youde,15,Artus,false,Criminale,Maschile
Naples,P1VF2ES4N661N085,McCowen,79,Roldan,false,Criminale,Femminile
Palermo,8WKRG1255ON3U4X2,Friedenbach,24,Jeralee,false,Vittima,Femminile
Palermo,8OKQ96K8G43M85P2,Sanson,81,Maje,true,Vittima,Maschile
Turin,DUTC99YY4213Q37W,Tincey,40,Ryley,true,Vittima,Femminile
Genoa,K455BU5AY0GWHICR,Mollison,14,Ginevra,true,Vittima,Maschile
Bologna,60BJL4WJE51XZTDY,Morl,45,Claudius,true,Vittima,Femminile
Rome,4E194YW9E6031SW0,Cumpsty,18,Roarke,true,Criminale,Maschile
Verona,X4B21748U3LRP23M,Mantripp,48,Waneta,true,Criminale,Femminile
Florence,7602309K3489V8LC,Najara,30,Giavani,false,Criminale,Maschile
Genoa,LN5E69L2025B3S87,Issacof,18,Dmitri,false,Vittima,Maschile
Palermo,78BE4NVYGN22FPM0,Rolfi,62,Lila,false,Vittima,Maschile
Genoa,W2240M5ATJX04EK8,Shawcross,33,Judi,false,Criminale,Femminile
Verona,LA1MW0YB901I5QQE,Nelsey,79,Donn,false,Vittima,Maschile
Turin,B8091G0J61584296,Dobney,48,Patricia,true,Vittima,Femminile
Venice,B1QZZ3ZU90512334,Obern,41,Panchito,false,Vittima,Maschile
Bologna,5M8QFXWWLV5C1XX9,Geldart,15,Jocelyn,false,Criminale,Maschile
Rome,WQ0N462HWI1SS747,Rollings,56,Ula,false,Vittima,Femminile
Rome,LB7O691329K6STPN,Bellis,80,Delores,false,Criminale,Maschile
Florence,6MY7S7P32838W9P2,Loxley,89,Mina,false,Vittima,Maschile
Genoa,ZGU2G18L35I9M84Q,Strotone,51,Milly,true,Vittima,Femminile
Verona,7NO2N71DW900C8J8,Spinige,45,Kippar,false,Criminale,Maschile
Florence,W6WM1I60P1I0S308,Tuminelli,31,Alejandro,true,Vittima,Femminile
Florence,T1G80ZBLN0U68V3L,Weinham,42,Brig,false,Vittima,Femminile
Rome,706HOGVS9163V609,Peaple,80,Sansone,true,Criminale,Maschile
Venice,JLM8Y8BY874SL099,Edeson,36,Janella,false,Criminale,Maschile
Florence,2MXLZ0DA9M18U89D,Deakes,66,Alisha,true,Vittima,Femminile
Naples,9F71V495LIKX1UI3,Kliment,16,Jamaal,false,Criminale,Maschile
Turin,8CMU7EO3Q1K25XJ5,Morin,34,Delmer,false,Vittima,Femminile
Verona,YE84280S34E77Z9B,Pennycuick,45,Budd,false,Criminale,Maschile
Verona,Y874N07ML0S4UOYT,Tape,48,Danie,false,Criminale,Maschile
Bologna,08Z45UL11456A63H,Ladyman,73,Giffer,true,Criminale,Femminile
Genoa,Q6O81X35L38080XN,Bertelmot,48,Caresa,true,Vittima,Maschile
Turin,7XIY026J0YNHZ81D,Claybourn,57,Bernadine,true,Vittima,Maschile
Naples,9RM7DBK2F26220GX,Simonutti,26,Muhammad,true,Criminale,Femminile
Rome,AU8V39A25142KY7O,Nasey,29,Cobbie,false,Criminale,Femminile
Turin,01Z4Q994B01A8UE2,Huws,73,Angelika,true,Criminale,Femminile
Palermo,22RVPS18TI4SGTJD,Kevern,16,Klarika,false,Criminale,Maschile
Rome,VI81DVOV1UH1U5MJ,Mutlow,71,Lucinda,true,Vittima,Femminile
Milan,3AQE4V4F8EA4QCR4,Rattry,44,Marissa,true,Vittima,Femminile
Naples,11E6RBDUF1EQDO22,Spadaro,57,Nikki,true,Criminale,Femminile
Bologna,9BH20SJ2I877A87I,Rabbage,49,Mathe,true,Vittima,Femminile
Rome,B5P9Q2V0291G2G5A,Wingar,68,Terrance,false,Criminale,Maschile
Naples,XWEI886Q3SBZ84Q8,Hamshere,33,Merridie,false,Criminale,Femminile
Verona,46UMJW7CMQ674589,Hembry,21,Berny,true,Criminale,Maschile
Milan,FJLN916GE450GXG7,Lodewick,24,Benedick,false,Vittima,Femminile
Milan,7Q2WN70PJXCN7E17,Blackaby,61,Westleigh,true,Criminale,Femminile
Milan,V6P52KR15ZKH3JNF,Cranshaw,30,Phaedra,false,Vittima,Maschile
Venice,088ALJ6SF00U9YHK,Jacqueminot,70,Cherise,false,Vittima,Femminile
Turin,K7294F9K807919II,Eliez,77,Idell,false,Vittima,Femminile
Turin,28X650G457IS2A17,Toffanini,61,Augustine,false,Criminale,Maschile
Turin,O455L45MTINJ1RZM,Morgans,64,Gay,false,Criminale,Maschile
Milan,K90VI779Y2539M48,Fender,80,Tris,true,Vittima,Femminile
Genoa,LE9J376C226ITQJ1,Pagram,70,Juan,false,Criminale,Maschile
Milan,TEF8JGFPPNVSD206,Marrison,43,Hyacinthie,false,Criminale,Maschile
Genoa,9QMMSJ9HIA61EW48,Rust,90,Dulcia,true,Vittima,Maschile
Venice,936C9E1F0UPJ0E3D,Golsworthy,74,Cad,false,Criminale,Maschile
Florence,ONW6RZEE5GXGNYM7,Breedy,73,Leann,true,Criminale,Maschile
Verona,K38X22M42R767Q9H,Becraft,55,Leandra,true,Vittima,Femminile
Turin,HZRPI0W80F9ZJC6M,Marquand,22,Aida,false,Criminale,Maschile
Rome,5825NFH3W235PBJ1,Brannan,75,Marieann,false,Criminale,Maschile
Naples,3NHF052CO05I47D2,Roncelli,33,Kailey,true,Vittima,Femminile
Rome,RQCNLGF98542UI5J,Hellard,27,Chase,false,Criminale,Femminile
Verona,P2O71521IJHAMZSJ,Gingle,34,Florie,true,Vittima,Femminile
Turin,R8VE7YYMR9359VBZ,Turfrey,15,Angelique,false,Vittima,Femminile
Bologna,JIP5TSJ20K518BP5,Mullaney,14,Bear,false,Vittima,Femminile
Genoa,0Q7K2369K50H0B0D,Yeude,14,Rosabel,false,Vittima,Maschile
Palermo,D4S96TX9OSVA0A82,Corrison,87,Ashlen,true,Criminale,Maschile
Florence,SCV0AZ94A4R20Y29,Peascod,19,Fenelia,false,Vittima,Femminile
Genoa,1QBP13Z1GR367XU9,Marskell,23,Katti,false,Vittima,Femminile
